AÑO,DECADA,AÑO_NM,MINUTOS,HORAS,DURACION_NM,GENERO,GENERO_NUM,GENERO_NM,DIRECCION,DIRECCION_NUM,PROTAGONISTA,PROTAGONISTA_NUM,JUAN_PALOMO,PAIS,PAIS_NUM,PAIS_NM,VOTOS,POPULARIDAD,POPULARIDAD_NM,NOTA
2002,100,6.618110236220472,92,1,6.486925287356322,Drama,7,6.638080216313655,Wim Wenders,2167,Chloë Sevigny,378,0,Alemania,1,6.597499999999999,1129,1,6.494793536804309,6.8
2020,120,6.343877551020409,95,1,6.486925287356322,Animación,1,6.707727272727273,Joel Crawford,997, ,0,0,Estados Unidos,26,6.506012378426171,2818,1,6.494793536804309,6.2
1979,70,6.892857142857143,117,1,6.486925287356322,Drama,7,6.638080216313655,Norman Jewison,1585,Al Pacino,46,0,Estados Unidos,26,6.506012378426171,3372,1,6.494793536804309,6.7
2012,110,6.419580419580419,100,1,6.486925287356322,Drama,7,6.638080216313655,Christian Petzold,354,Nina Hoss,1668,0,Alemania,1,6.597499999999999,3255,1,6.494793536804309,6.4
1994,90,6.673563218390805,108,1,6.486925287356322,Drama,7,6.638080216313655,Giuseppe Tornatore,730,Gérard Depardieu,802,0,Italia,41,6.670769230769231,2709,1,6.494793536804309,7.2
2021,120,6.423846153846154,110,1,6.486925287356322,Animación,1,6.707727272727273,Michael Rianda,1462, ,0,0,Estados Unidos,26,6.506012378426171,11900,1,6.494793536804309,7.1
2016,110,6.420958083832336,159,2,6.708482438701127,Drama,7,6.638080216313655,Martin Scorsese,1389,Andrew Garfield,120,0,Estados Unidos,26,6.506012378426171,15464,1,6.494793536804309,6.3
2019,110,6.450292397660819,103,1,6.486925287356322,Animación,1,6.707727272727273,Chris Buck,336, ,0,0,Estados Unidos,26,6.506012378426171,11251,1,6.494793536804309,5.8
1988,80,6.66,155,2,6.708482438701127,Drama,7,6.638080216313655,Giuseppe Tornatore,730,Philippe Noiret,1766,0,Italia,41,6.670769230769231,92397,3,7.1856,8.3
1990,90,6.667796610169491,115,1,6.486925287356322,Comedia,6,6.479304635761589,Richard Benjamin,1763,Cher,373,0,Estados Unidos,26,6.506012378426171,4598,1,6.494793536804309,5.8
1999,90,6.656880733944955,108,1,6.486925287356322,Drama,7,6.638080216313655,Joe Johnston,992,Jake Gyllenhaal,943,0,Estados Unidos,26,6.506012378426171,3636,1,6.494793536804309,6.9
1995,90,6.725925925925925,91,1,6.486925287356322,Comedia,6,6.479304635761589,F. Gary Gray,617,Rebecca Hall,1812,0,Estados Unidos,26,6.506012378426171,1030,1,6.494793536804309,5.8
1995,90,6.725925925925925,92,1,6.486925287356322,Drama,7,6.638080216313655,Wong Kar-Wai,2172,Leon Lai,1317,0,Hong Kong,33,6.557777777777778,5606,1,6.494793536804309,7.1
2006,100,6.53855421686747,100,1,6.486925287356322,Drama,7,6.638080216313655,Claudia Llosa,380,Magaly Solier,1403,0,Perú,57,6.34,1752,1,6.494793536804309,6.5
1988,80,6.66,120,2,6.708482438701127,Comedia,6,6.479304635761589,Mike Nichols,1504,Harrison Ford,826,0,Estados Unidos,26,6.506012378426171,14137,1,6.494793536804309,6.4
2006,100,6.53855421686747,95,1,6.486925287356322,Thriller,14,6.4992,Johnnie To,1048,Simon Yam,2006,0,Hong Kong,33,6.557777777777778,1093,1,6.494793536804309,6.9
1988,80,6.66,164,2,6.708482438701127,Drama,7,6.638080216313655,Martin Scorsese,1389,Willem Dafoe,2228,0,Estados Unidos,26,6.506012378426171,12761,1,6.494793536804309,7.0
2019,110,6.450292397660819,90,1,6.486925287356322,Thriller,14,6.4992,Bridget Savage Cole,272,Sophie Lowe,2020,0,Estados Unidos,26,6.506012378426171,2822,1,6.494793536804309,5.8
2013,110,6.417575757575758,131,2,6.708482438701127,Drama,7,6.638080216313655,Martin Provost,1386,Emmanuelle Devos,631,0,Francia,29,6.605418719211823,1054,1,6.494793536804309,6.2
2014,110,6.441530054644809,101,1,6.486925287356322,Drama,7,6.638080216313655,George Ovashvili,710,Ilyas Salman,888,0,Georgia,30,7.1,1431,1,6.494793536804309,7.1
1978,70,6.7,114,1,6.486925287356322,Intriga,10,6.5185,Billy Wilder,240,William Holden,2230,0,Francia,29,6.605418719211823,4234,1,6.494793536804309,7.0
1972,70,7.043243243243244,128,2,6.708482438701127,Drama,7,6.638080216313655,Federico Fellini,623,Peter Gonzales Falcon,1751,0,Italia,41,6.670769230769231,4291,1,6.494793536804309,7.4
2003,100,6.609259259259259,113,1,6.486925287356322,Aventuras,2,6.480645161290322,P.J. Hogan,1608,Jason Scott Lee,989,0,Estados Unidos,26,6.506012378426171,9497,1,6.494793536804309,6.2
2007,100,6.491463414634146,92,1,6.486925287356322,Animación,1,6.707727272727273,Chris Miller,341, ,0,0,Estados Unidos,26,6.506012378426171,36580,1,6.494793536804309,5.9
2012,110,6.419580419580419,116,1,6.486925287356322,Drama,7,6.638080216313655,Curtis Hanson,400,Jonny Weston,1119,0,Estados Unidos,26,6.506012378426171,4027,1,6.494793536804309,5.9
2020,120,6.343877551020409,99,1,6.486925287356322,Drama,7,6.638080216313655,Majid Majidi,1320,Roohollah Zamani,1885,0,Irán,38,7.1866666666666665,1172,1,6.494793536804309,6.7
2014,110,6.441530054644809,119,1,6.486925287356322,Romance,12,6.470815450643777,Ned Benson,1545,Jessica Chastain,1043,0,Estados Unidos,26,6.506012378426171,3258,1,6.494793536804309,5.8
