NOTA,NOTA_AÑO,NOTA_DURACION (min),NOTA_GENERO,NOTA_DIRECCION,NOTA_PROTAGONISTA,NOTA_PAIS,NOTA_VOTOS,AÑO_RANKING,DURACION_RANKING,GENERO_RANKING,DIRECCION_RANKING,PROTAGONISTA_RANKING,PAIS_RANKING,VOTOS_RANKING
6.4,6.49,6.58,6.63,6.87,6.2,6.49,6.4,2,2,8,4,1,3,2
7.3,6.75,7.3,6.63,7.2,7.18,6.81,7.3,6,6,8,6,5,4,5
6.9,6.49,6.56,6.51,6.85,6.67,6.48,6.9,2,2,6,4,3,3,4
6.1,6.4,6.47,6.63,6.3,6.62,6.49,6.1,0,1,8,2,3,3,1
7.8,6.59,6.51,6.63,6.98,7.8,6.6,7.8,3,1,8,5,7,3,7
6.8,6.87,6.43,6.75,6.8,6.6,6.48,6.95,8,1,9,4,3,3,4
6.1,6.45,6.41,6.47,6.0,6.21,6.48,6.1,1,1,6,0,1,3,1
6.2,6.34,6.61,6.63,6.15,6.2,6.48,6.2,0,2,8,1,1,3,1
7.1,6.61,6.56,6.63,6.61,6.43,6.48,7.1,4,2,8,3,2,3,4
7.2,6.58,6.58,6.63,6.86,7.2,6.78,6.85,3,2,8,4,5,4,3
7.3,6.45,6.43,6.63,7.3,7.3,6.49,7.3,1,1,8,6,5,3,5
7.2,6.67,6.53,6.51,6.84,7.04,6.49,7.2,5,1,6,4,4,3,5
6.1,6.71,6.48,6.63,6.37,6.2,6.48,6.3,5,1,8,2,1,3,1
6.7,6.42,6.65,6.63,6.4,6.5,6.48,6.7,1,2,8,2,2,3,3
7.4,6.5,6.57,6.63,7.25,7.4,6.98,7.4,2,2,8,6,6,5,5
6.2,6.46,6.61,6.47,6.34,6.18,6.48,6.2,1,2,6,2,1,3,1
6.4,6.57,6.61,6.63,7.18,6.54,6.78,6.13,3,2,8,6,2,4,1
6.8,6.45,6.56,6.63,6.68,6.3,6.48,6.8,1,2,8,3,1,3,3
6.6,6.44,6.55,6.63,6.45,6.6,6.78,6.6,1,2,8,2,3,4,2
7.2,6.99,6.51,6.46,6.91,7.08,7.23,7.2,9,1,6,4,4,7,5
6.1,6.62,6.55,6.47,6.43,6.5,6.48,6.1,4,2,6,2,2,3,1
6.0,6.42,6.6,6.47,6.07,6.21,6.48,6.0,1,2,6,1,1,3,0
6.7,6.49,6.43,6.47,6.87,6.74,6.48,6.7,2,1,6,4,3,3,3
6.6,6.4,6.65,6.63,6.5,7.2,6.7,6.23,0,2,8,3,5,4,1
6.0,6.42,6.51,6.63,5.9,6.2,6.49,6.0,1,1,8,0,1,3,0
7.0,6.61,6.62,6.63,7.0,7.0,6.6,6.4,4,2,8,5,4,3,2
6.3,6.45,6.56,6.63,6.86,6.3,6.78,6.3,1,2,8,4,1,4,1
6.6,6.61,6.62,6.47,6.7,6.56,6.4,6.6,4,2,6,3,2,2,2
6.6,6.45,6.6,6.63,6.6,6.6,6.71,6.1,1,2,8,3,3,4,1
6.1,6.34,6.42,6.63,6.1,6.1,6.4,6.1,0,1,8,1,1,2,1
7.6,6.66,6.6,6.69,7.1,6.7,6.78,7.6,4,2,9,5,3,4,6
6.2,6.58,6.43,6.51,6.65,6.05,6.52,6.2,3,1,6,3,0,3,1
6.6,6.45,6.64,6.63,6.23,6.35,6.48,6.3,1,2,8,1,2,3,1
6.7,6.42,6.62,6.63,6.36,6.6,6.48,6.25,1,2,8,2,3,3,1
6.3,6.59,6.64,6.47,6.55,6.53,6.48,6.3,3,2,6,3,2,3,1
5.8,6.71,6.41,6.51,6.93,6.4,6.48,5.85,5,1,6,4,2,3,0
6.4,6.42,6.41,6.47,6.4,6.4,6.48,6.4,1,1,6,2,2,3,2
6.8,6.44,6.58,6.42,6.55,6.54,6.48,6.8,1,2,5,3,2,3,3
7.2,6.75,6.41,6.28,7.2,6.4,6.52,7.2,6,1,3,6,2,3,5
6.2,6.58,6.47,6.63,6.3,6.33,6.48,6.2,3,1,8,2,2,3,1
6.4,6.42,6.6,6.47,6.4,6.62,6.72,6.4,1,2,6,2,3,4,2
6.4,6.61,6.65,6.63,7.06,6.37,6.48,6.4,4,2,8,5,2,3,2
7.3,6.49,6.61,6.63,6.83,7.3,6.6,7.3,2,2,8,4,5,3,5
6.6,6.4,6.74,6.47,6.63,6.32,6.48,6.7,0,3,6,3,2,3,3
7.2,6.42,6.57,6.63,6.8,7.2,6.68,7.2,1,2,8,4,5,4,5
6.2,6.45,6.6,6.4,6.75,6.2,6.48,6.2,1,2,5,4,1,3,1
6.8,6.65,6.41,6.63,6.7,6.98,6.48,6.8,4,1,8,3,4,3,3
5.9,6.46,6.41,6.63,6.4,6.4,6.49,5.9,1,1,8,2,2,3,0
5.9,6.62,6.43,6.47,6.05,6.58,6.48,5.85,4,1,6,1,3,3,0
6.8,6.45,6.6,6.63,6.8,6.8,6.4,6.8,1,2,8,4,3,2,3
6.8,6.6,6.41,6.47,6.8,6.8,6.48,6.8,4,1,6,4,3,3,3
6.0,6.75,6.48,6.47,6.0,6.48,6.48,6.0,6,1,6,0,2,3,0
6.0,6.75,6.58,6.47,6.35,6.0,6.48,6.0,6,2,6,2,0,3,0
8.3,6.87,6.69,6.63,7.17,6.74,6.48,8.3,8,2,8,5,3,3,9
6.8,6.78,6.68,6.51,6.87,6.54,6.48,6.8,6,2,6,4,2,3,3
6.4,6.57,7.0,6.63,6.82,6.44,6.48,6.4,3,4,8,4,2,3,2
6.2,6.42,6.6,6.47,6.42,6.39,6.48,6.2,1,2,6,2,2,3,1
6.6,6.67,6.47,6.47,6.95,6.4,6.48,6.6,5,1,6,5,2,3,2
6.0,6.49,6.41,6.4,6.69,6.25,6.48,6.0,2,1,5,3,1,3,0
7.7,6.87,6.55,6.63,6.96,7.37,7.23,7.7,8,2,8,5,6,7,7
6.6,6.87,6.58,6.63,7.06,6.75,6.48,6.5,8,2,8,5,3,3,2
8.1,6.89,6.56,6.42,6.62,6.77,6.48,8.1,8,2,5,3,3,3,8
7.4,6.75,6.81,6.42,6.78,6.77,6.48,7.4,6,3,5,4,3,3,5
5.9,6.78,6.47,6.42,6.77,6.77,6.48,5.9,6,1,5,4,3,3,0
6.4,6.45,6.65,6.42,6.7,6.4,6.48,6.4,1,2,5,3,2,3,2
7.5,6.89,6.63,6.63,7.65,6.88,6.48,7.5,8,2,8,8,4,3,6
6.5,6.44,6.47,6.63,6.78,6.18,6.48,6.5,1,1,8,4,1,3,2
6.5,6.46,6.4,6.63,6.5,6.5,6.6,6.75,1,1,8,3,2,3,3
7.0,6.45,6.56,6.63,6.88,6.34,6.49,6.85,1,2,8,4,2,3,3
6.3,6.53,6.54,6.47,6.82,6.87,6.48,6.3,2,1,6,4,4,3,1
6.1,6.46,6.48,6.63,6.68,6.1,7.01,6.1,1,1,8,3,1,6,1
7.4,6.75,6.69,6.63,6.94,7.4,6.6,7.4,6,2,8,4,6,3,5
7.1,6.65,6.47,6.47,6.48,6.55,6.48,7.1,4,1,6,2,2,3,4
6.2,6.56,6.42,6.28,6.05,6.5,6.6,6.2,3,1,3,1,2,3,1
7.7,6.57,6.96,6.63,7.17,7.7,6.48,7.7,3,4,8,5,7,3,7
5.8,6.49,6.57,6.63,6.89,6.1,6.4,5.8,2,2,8,4,1,2,0
6.4,6.4,6.55,6.63,6.4,6.4,6.4,6.53,0,2,8,2,2,2,2
5.8,6.42,6.47,6.57,6.3,6.7,6.49,6.1,1,1,7,2,3,3,1
7.5,6.62,6.41,6.47,6.74,6.72,6.4,7.5,4,1,6,4,3,2,6
6.4,6.89,6.54,6.46,6.4,6.98,6.48,6.15,8,1,6,2,4,3,1
6.5,6.6,6.47,6.28,6.32,6.88,6.48,6.5,4,1,3,2,4,3,2
6.6,6.65,6.55,6.63,6.22,6.45,6.4,6.35,4,2,8,1,2,2,2
